algorithm,train_file,test_file,run_id,accuracy,mse,regret,train_size,seed
orthogonal_loss_learner.py,data/train_500_4.pkl,data/test_500_4.pkl,2,0.7653,29.2262,0.5485,500,4
log_loss_learner.py,data/train_500_0.pkl,data/test_500_0.pkl,0,0.6567,11.2764,0.6239,500,0
stupid_loss_learner.py,data/train_500_0.pkl,data/test_500_0.pkl,0,0.5633,12.2249,1.0326,500,0
log_loss_learner.py,data/train_500_0.pkl,data/test_500_0.pkl,1,0.653,11.3203,0.6077,500,0
stupid_loss_learner.py,data/train_500_0.pkl,data/test_500_0.pkl,1,0.6033,11.9035,0.846,500,0
orthogonal_loss_learner.py,data/train_500_0.pkl,data/test_500_0.pkl,0,0.6553,10.3537,0.6168,500,0
orthogonal_loss_learner_splitting.py,data/train_500_0.pkl,data/test_500_0.pkl,1,0.633,11.7552,0.6975,500,0
nonorthogonal_loss_learner.py,data/train_500_0.pkl,data/test_500_0.pkl,2,0.604,11.8591,0.8219,500,0
log_loss_learner.py,data/train_500_0.pkl,data/test_500_0.pkl,2,0.6567,11.0979,0.6095,500,0
nonorthogonal_loss_learner.py,data/train_500_0.pkl,data/test_500_0.pkl,1,0.611,11.9425,0.805,500,0
orthogonal_loss_learner.py,data/train_500_0.pkl,data/test_500_0.pkl,1,0.644,10.5857,0.6544,500,0
orthogonal_loss_learner.py,data/train_500_0.pkl,data/test_500_0.pkl,2,0.643,10.348,0.6363,500,0
orthogonal_loss_learner_ybyt.py,data/train_500_0.pkl,data/test_500_0.pkl,1,0.6347,10.7726,0.7103,500,0
orthogonal_loss_learner_ybyt.py,data/train_500_0.pkl,data/test_500_0.pkl,2,0.659,10.381,0.5983,500,0
orthogonal_loss_learner_splitting.py,data/train_500_0.pkl,data/test_500_0.pkl,2,0.623,11.8892,0.7605,500,0
stupid_loss_learner.py,data/train_500_0.pkl,data/test_500_0.pkl,2,0.571,12.0409,0.9286,500,0
orthogonal_loss_learner_splitting.py,data/train_500_0.pkl,data/test_500_0.pkl,0,0.5963,11.8917,0.8216,500,0
nonorthogonal_loss_learner.py,data/train_500_0.pkl,data/test_500_0.pkl,0,0.639,11.5856,0.659,500,0
orthogonal_loss_learner_ybyt.py,data/train_500_0.pkl,data/test_500_0.pkl,0,0.658,10.4058,0.6166,500,0
log_loss_learner.py,data/train_500_2.pkl,data/test_500_2.pkl,1,0.721,24.3342,0.6608,500,2
stupid_loss_learner.py,data/train_500_2.pkl,data/test_500_2.pkl,1,0.6263,26.306,1.2494,500,2
stupid_loss_learner.py,data/train_500_2.pkl,data/test_500_2.pkl,0,0.601,26.7484,1.3745,500,2
orthogonal_loss_learner_splitting.py,data/train_500_2.pkl,data/test_500_2.pkl,2,0.7093,25.4659,0.6803,500,2
orthogonal_loss_learner_splitting.py,data/train_500_2.pkl,data/test_500_2.pkl,0,0.7163,25.152,0.6712,500,2
log_loss_learner.py,data/train_500_2.pkl,data/test_500_2.pkl,2,0.7163,24.1745,0.693,500,2
nonorthogonal_loss_learner.py,data/train_500_2.pkl,data/test_500_2.pkl,1,0.7357,23.4274,0.582,500,2
orthogonal_loss_learner.py,data/train_500_2.pkl,data/test_500_2.pkl,2,0.7307,22.1144,0.6167,500,2
orthogonal_loss_learner.py,data/train_500_2.pkl,data/test_500_2.pkl,1,0.724,22.7308,0.6466,500,2
stupid_loss_learner.py,data/train_500_2.pkl,data/test_500_2.pkl,2,0.6863,26.318,0.8629,500,2
orthogonal_loss_learner_ybyt.py,data/train_500_2.pkl,data/test_500_2.pkl,0,0.7123,24.4792,0.7107,500,2
nonorthogonal_loss_learner.py,data/train_500_2.pkl,data/test_500_2.pkl,2,0.7083,25.1571,0.7243,500,2
orthogonal_loss_learner_ybyt.py,data/train_500_2.pkl,data/test_500_2.pkl,1,0.716,23.001,0.6949,500,2
orthogonal_loss_learner.py,data/train_500_2.pkl,data/test_500_2.pkl,0,0.731,21.144,0.5893,500,2
log_loss_learner.py,data/train_500_2.pkl,data/test_500_2.pkl,0,0.7193,24.2182,0.6649,500,2
nonorthogonal_loss_learner.py,data/train_500_2.pkl,data/test_500_2.pkl,0,0.6993,25.1508,0.7652,500,2
orthogonal_loss_learner_ybyt.py,data/train_500_2.pkl,data/test_500_2.pkl,2,0.7053,23.1916,0.7489,500,2
orthogonal_loss_learner_splitting.py,data/train_500_2.pkl,data/test_500_2.pkl,1,0.645,26.0066,1.0946,500,2
nonorthogonal_loss_learner.py,data/train_500_3.pkl,data/test_500_3.pkl,1,0.6727,23.282,0.8126,500,3
orthogonal_loss_learner_splitting.py,data/train_500_3.pkl,data/test_500_3.pkl,2,0.603,24.1529,1.1911,500,3
log_loss_learner.py,data/train_500_3.pkl,data/test_500_3.pkl,1,0.7233,21.7861,0.5365,500,3
stupid_loss_learner.py,data/train_500_3.pkl,data/test_500_3.pkl,0,0.551,24.4921,1.5236,500,3
log_loss_learner.py,data/train_500_3.pkl,data/test_500_3.pkl,0,0.6903,22.8019,0.6634,500,3
stupid_loss_learner.py,data/train_500_3.pkl,data/test_500_3.pkl,2,0.5447,24.5843,1.5761,500,3
log_loss_learner.py,data/train_500_3.pkl,data/test_500_3.pkl,2,0.6927,22.3305,0.693,500,3
orthogonal_loss_learner.py,data/train_500_3.pkl,data/test_500_3.pkl,1,0.7243,17.4193,0.5341,500,3
orthogonal_loss_learner_ybyt.py,data/train_500_3.pkl,data/test_500_3.pkl,2,0.6993,18.6731,0.6362,500,3
orthogonal_loss_learner.py,data/train_500_3.pkl,data/test_500_3.pkl,0,0.718,19.1355,0.5575,500,3
orthogonal_loss_learner.py,data/train_500_3.pkl,data/test_500_3.pkl,2,0.7027,20.3592,0.6272,500,3
stupid_loss_learner.py,data/train_500_3.pkl,data/test_500_3.pkl,1,0.5823,24.0712,1.3276,500,3
orthogonal_loss_learner_splitting.py,data/train_500_3.pkl,data/test_500_3.pkl,1,0.643,23.0814,0.9771,500,3
nonorthogonal_loss_learner.py,data/train_500_3.pkl,data/test_500_3.pkl,0,0.6547,24.168,0.9222,500,3
nonorthogonal_loss_learner.py,data/train_500_3.pkl,data/test_500_3.pkl,2,0.6613,23.5118,0.8798,500,3
orthogonal_loss_learner_splitting.py,data/train_500_3.pkl,data/test_500_3.pkl,0,0.6527,23.9289,0.9568,500,3
orthogonal_loss_learner_ybyt.py,data/train_500_3.pkl,data/test_500_3.pkl,0,0.7053,20.7278,0.6488,500,3
orthogonal_loss_learner_ybyt.py,data/train_500_3.pkl,data/test_500_3.pkl,1,0.687,20.7922,0.7318,500,3
stupid_loss_learner.py,data/train_500_1.pkl,data/test_500_1.pkl,0,0.6337,11.0724,0.6983,500,1
log_loss_learner.py,data/train_500_1.pkl,data/test_500_1.pkl,0,0.6947,9.9437,0.4296,500,1
orthogonal_loss_learner_splitting.py,data/train_500_1.pkl,data/test_500_1.pkl,1,0.6663,10.3826,0.5725,500,1
nonorthogonal_loss_learner.py,data/train_500_1.pkl,data/test_500_1.pkl,2,0.6467,10.6401,0.6256,500,1
orthogonal_loss_learner_splitting.py,data/train_500_1.pkl,data/test_500_1.pkl,0,0.687,10.2649,0.4667,500,1
nonorthogonal_loss_learner.py,data/train_500_1.pkl,data/test_500_1.pkl,1,0.6553,10.7768,0.6197,500,1
nonorthogonal_loss_learner.py,data/train_500_1.pkl,data/test_500_1.pkl,0,0.6563,10.9829,0.5826,500,1
stupid_loss_learner.py,data/train_500_1.pkl,data/test_500_1.pkl,1,0.6433,10.8794,0.6157,500,1
orthogonal_loss_learner_splitting.py,data/train_500_1.pkl,data/test_500_1.pkl,2,0.6893,10.7462,0.4808,500,1
log_loss_learner.py,data/train_500_1.pkl,data/test_500_1.pkl,1,0.69,10.174,0.4648,500,1
orthogonal_loss_learner.py,data/train_500_1.pkl,data/test_500_1.pkl,0,0.6943,8.3677,0.4324,500,1
orthogonal_loss_learner_ybyt.py,data/train_500_1.pkl,data/test_500_1.pkl,0,0.6883,9.4191,0.4884,500,1
log_loss_learner.py,data/train_500_1.pkl,data/test_500_1.pkl,2,0.6883,10.1391,0.4771,500,1
orthogonal_loss_learner_ybyt.py,data/train_500_1.pkl,data/test_500_1.pkl,1,0.6897,9.2826,0.4645,500,1
orthogonal_loss_learner.py,data/train_500_1.pkl,data/test_500_1.pkl,1,0.693,9.039,0.4365,500,1
orthogonal_loss_learner.py,data/train_500_1.pkl,data/test_500_1.pkl,2,0.684,8.7609,0.474,500,1
stupid_loss_learner.py,data/train_500_1.pkl,data/test_500_1.pkl,2,0.6587,10.8865,0.5971,500,1
orthogonal_loss_learner_ybyt.py,data/train_500_1.pkl,data/test_500_1.pkl,2,0.703,9.142,0.4294,500,1
nonorthogonal_loss_learner.py,data/train_1000_4.pkl,data/test_1000_4.pkl,2,0.7703,31.1273,0.5123,1000,4
stupid_loss_learner.py,data/train_1000_4.pkl,data/test_1000_4.pkl,2,0.691,35.8583,0.9572,1000,4
orthogonal_loss_learner_splitting.py,data/train_1000_4.pkl,data/test_1000_4.pkl,2,0.7537,31.3446,0.6052,1000,4
orthogonal_loss_learner.py,data/train_1000_4.pkl,data/test_1000_4.pkl,0,0.7843,15.7204,0.4585,1000,4
stupid_loss_learner.py,data/train_1000_4.pkl,data/test_1000_4.pkl,0,0.726,34.4626,0.7259,1000,4
log_loss_learner.py,data/train_1000_4.pkl,data/test_1000_4.pkl,1,0.7833,30.9986,0.4406,1000,4
stupid_loss_learner.py,data/train_1000_4.pkl,data/test_1000_4.pkl,1,0.7277,35.6548,0.7553,1000,4
orthogonal_loss_learner_ybyt.py,data/train_1000_4.pkl,data/test_1000_4.pkl,1,0.7827,16.432,0.4549,1000,4
nonorthogonal_loss_learner.py,data/train_1000_4.pkl,data/test_1000_4.pkl,0,0.7643,29.7109,0.5137,1000,4
log_loss_learner.py,data/train_1000_4.pkl,data/test_1000_4.pkl,0,0.7813,30.803,0.4596,1000,4
nonorthogonal_loss_learner.py,data/train_1000_4.pkl,data/test_1000_4.pkl,1,0.7597,30.2003,0.6045,1000,4
orthogonal_loss_learner.py,data/train_1000_4.pkl,data/test_1000_4.pkl,1,0.7817,14.8825,0.4807,1000,4
log_loss_learner.py,data/train_1000_4.pkl,data/test_1000_4.pkl,2,0.7713,31.7853,0.5022,1000,4
orthogonal_loss_learner_splitting.py,data/train_1000_4.pkl,data/test_1000_4.pkl,0,0.762,30.4651,0.59,1000,4
orthogonal_loss_learner_ybyt.py,data/train_1000_4.pkl,data/test_1000_4.pkl,0,0.7797,16.9752,0.47,1000,4
orthogonal_loss_learner_splitting.py,data/train_1000_4.pkl,data/test_1000_4.pkl,1,0.7593,30.6882,0.5516,1000,4
orthogonal_loss_learner.py,data/train_1000_4.pkl,data/test_1000_4.pkl,2,0.7857,14.4895,0.4355,1000,4
orthogonal_loss_learner_ybyt.py,data/train_1000_4.pkl,data/test_1000_4.pkl,2,0.783,17.2155,0.4526,1000,4
orthogonal_loss_learner_splitting.py,data/train_1000_1.pkl,data/test_1000_1.pkl,0,0.692,9.0133,0.4705,1000,1
stupid_loss_learner.py,data/train_1000_1.pkl,data/test_1000_1.pkl,2,0.6687,10.3965,0.566,1000,1
stupid_loss_learner.py,data/train_1000_1.pkl,data/test_1000_1.pkl,0,0.6767,10.3772,0.5338,1000,1
stupid_loss_learner.py,data/train_1000_1.pkl,data/test_1000_1.pkl,1,0.6663,10.5356,0.5898,1000,1
nonorthogonal_loss_learner.py,data/train_1000_1.pkl,data/test_1000_1.pkl,2,0.6973,9.3611,0.4584,1000,1
orthogonal_loss_learner_splitting.py,data/train_1000_1.pkl,data/test_1000_1.pkl,1,0.6867,9.52,0.4488,1000,1
orthogonal_loss_learner_splitting.py,data/train_1000_1.pkl,data/test_1000_1.pkl,2,0.6843,9.1324,0.4691,1000,1
nonorthogonal_loss_learner.py,data/train_1000_1.pkl,data/test_1000_1.pkl,1,0.6987,8.6387,0.4122,1000,1
nonorthogonal_loss_learner.py,data/train_1000_1.pkl,data/test_1000_1.pkl,0,0.6817,10.0047,0.4968,1000,1
log_loss_learner.py,data/train_1000_1.pkl,data/test_1000_1.pkl,2,0.711,9.4871,0.393,1000,1
log_loss_learner.py,data/train_1000_1.pkl,data/test_1000_1.pkl,0,0.6997,9.4811,0.4054,1000,1
orthogonal_loss_learner.py,data/train_1000_1.pkl,data/test_1000_1.pkl,0,0.6983,7.2388,0.4204,1000,1
log_loss_learner.py,data/train_1000_1.pkl,data/test_1000_1.pkl,1,0.7013,9.3434,0.4023,1000,1
orthogonal_loss_learner_ybyt.py,data/train_1000_1.pkl,data/test_1000_1.pkl,1,0.696,7.3301,0.4201,1000,1
orthogonal_loss_learner.py,data/train_1000_1.pkl,data/test_1000_1.pkl,2,0.702,6.7213,0.391,1000,1
orthogonal_loss_learner_ybyt.py,data/train_1000_1.pkl,data/test_1000_1.pkl,2,0.704,6.9998,0.3939,1000,1
orthogonal_loss_learner.py,data/train_1000_1.pkl,data/test_1000_1.pkl,1,0.6947,7.1323,0.4166,1000,1
orthogonal_loss_learner_ybyt.py,data/train_1000_1.pkl,data/test_1000_1.pkl,0,0.7007,7.0091,0.4009,1000,1
orthogonal_loss_learner_splitting.py,data/train_1000_2.pkl,data/test_1000_2.pkl,0,0.7377,21.6489,0.5703,1000,2
orthogonal_loss_learner_ybyt.py,data/train_1000_2.pkl,data/test_1000_2.pkl,0,0.7537,14.0473,0.5099,1000,2
orthogonal_loss_learner_splitting.py,data/train_1000_2.pkl,data/test_1000_2.pkl,1,0.7273,22.7748,0.6406,1000,2
stupid_loss_learner.py,data/train_1000_2.pkl,data/test_1000_2.pkl,1,0.6833,24.6891,0.8501,1000,2
stupid_loss_learner.py,data/train_1000_2.pkl,data/test_1000_2.pkl,2,0.6977,25.1897,0.7991,1000,2
log_loss_learner.py,data/train_1000_2.pkl,data/test_1000_2.pkl,2,0.7403,22.1815,0.5806,1000,2
nonorthogonal_loss_learner.py,data/train_1000_2.pkl,data/test_1000_2.pkl,1,0.719,21.6302,0.6752,1000,2
nonorthogonal_loss_learner.py,data/train_1000_2.pkl,data/test_1000_2.pkl,0,0.7223,20.3466,0.6802,1000,2
log_loss_learner.py,data/train_1000_2.pkl,data/test_1000_2.pkl,1,0.7397,22.2176,0.5884,1000,2
log_loss_learner.py,data/train_1000_2.pkl,data/test_1000_2.pkl,0,0.7313,22.5217,0.6092,1000,2
orthogonal_loss_learner.py,data/train_1000_2.pkl,data/test_1000_2.pkl,2,0.7533,13.8685,0.5324,1000,2
stupid_loss_learner.py,data/train_1000_2.pkl,data/test_1000_2.pkl,0,0.6937,24.2714,0.8472,1000,2
orthogonal_loss_learner_splitting.py,data/train_1000_2.pkl,data/test_1000_2.pkl,2,0.7407,20.6364,0.558,1000,2
nonorthogonal_loss_learner.py,data/train_1000_2.pkl,data/test_1000_2.pkl,2,0.724,22.1547,0.6453,1000,2
orthogonal_loss_learner.py,data/train_1000_2.pkl,data/test_1000_2.pkl,0,0.7517,13.8471,0.5201,1000,2
orthogonal_loss_learner_ybyt.py,data/train_1000_2.pkl,data/test_1000_2.pkl,2,0.75,13.4106,0.519,1000,2
orthogonal_loss_learner.py,data/train_1000_2.pkl,data/test_1000_2.pkl,1,0.7427,14.2039,0.557,1000,2
orthogonal_loss_learner_ybyt.py,data/train_1000_2.pkl,data/test_1000_2.pkl,1,0.741,14.4842,0.5665,1000,2
nonorthogonal_loss_learner.py,data/train_1000_3.pkl,data/test_1000_3.pkl,2,0.698,21.9861,0.6719,1000,3
orthogonal_loss_learner_splitting.py,data/train_1000_3.pkl,data/test_1000_3.pkl,0,0.7163,21.431,0.6355,1000,3
nonorthogonal_loss_learner.py,data/train_1000_3.pkl,data/test_1000_3.pkl,1,0.733,19.1211,0.5544,1000,3
log_loss_learner.py,data/train_1000_3.pkl,data/test_1000_3.pkl,0,0.7357,20.9003,0.5048,1000,3
stupid_loss_learner.py,data/train_1000_3.pkl,data/test_1000_3.pkl,2,0.7013,22.4974,0.6935,1000,3
log_loss_learner.py,data/train_1000_3.pkl,data/test_1000_3.pkl,2,0.7343,20.7668,0.5245,1000,3
orthogonal_loss_learner_splitting.py,data/train_1000_3.pkl,data/test_1000_3.pkl,2,0.705,21.806,0.6218,1000,3
stupid_loss_learner.py,data/train_1000_3.pkl,data/test_1000_3.pkl,0,0.7047,23.1116,0.6876,1000,3
nonorthogonal_loss_learner.py,data/train_1000_3.pkl,data/test_1000_3.pkl,0,0.7147,20.1978,0.6124,1000,3
log_loss_learner.py,data/train_1000_3.pkl,data/test_1000_3.pkl,1,0.7333,20.8767,0.5175,1000,3
orthogonal_loss_learner_splitting.py,data/train_1000_3.pkl,data/test_1000_3.pkl,1,0.7243,19.7614,0.6063,1000,3
stupid_loss_learner.py,data/train_1000_3.pkl,data/test_1000_3.pkl,1,0.696,22.7623,0.7072,1000,3
orthogonal_loss_learner_ybyt.py,data/train_1000_3.pkl,data/test_1000_3.pkl,1,0.7393,13.7836,0.5206,1000,3
orthogonal_loss_learner.py,data/train_1000_3.pkl,data/test_1000_3.pkl,2,0.7347,12.619,0.5062,1000,3
orthogonal_loss_learner_ybyt.py,data/train_1000_3.pkl,data/test_1000_3.pkl,0,0.745,13.7684,0.4815,1000,3
orthogonal_loss_learner_ybyt.py,data/train_1000_3.pkl,data/test_1000_3.pkl,2,0.744,13.5173,0.489,1000,3
orthogonal_loss_learner.py,data/train_1000_3.pkl,data/test_1000_3.pkl,0,0.739,12.6813,0.5064,1000,3
orthogonal_loss_learner.py,data/train_1000_3.pkl,data/test_1000_3.pkl,1,0.732,13.0633,0.5403,1000,3
orthogonal_loss_learner.py,data/train_1000_0.pkl,data/test_1000_0.pkl,2,0.65,9.4489,0.5972,1000,0
log_loss_learner.py,data/train_1000_0.pkl,data/test_1000_0.pkl,0,0.665,11.0009,0.5745,1000,0
nonorthogonal_loss_learner.py,data/train_1000_0.pkl,data/test_1000_0.pkl,0,0.6503,10.6808,0.6309,1000,0
stupid_loss_learner.py,data/train_1000_0.pkl,data/test_1000_0.pkl,0,0.6217,11.8135,0.7662,1000,0
stupid_loss_learner.py,data/train_1000_0.pkl,data/test_1000_0.pkl,2,0.6187,11.5773,0.7777,1000,0
orthogonal_loss_learner_splitting.py,data/train_1000_0.pkl,data/test_1000_0.pkl,1,0.6317,10.4372,0.6585,1000,0
orthogonal_loss_learner_splitting.py,data/train_1000_0.pkl,data/test_1000_0.pkl,2,0.645,10.4204,0.6146,1000,0
orthogonal_loss_learner_splitting.py,data/train_1000_0.pkl,data/test_1000_0.pkl,0,0.659,10.5402,0.59,1000,0
nonorthogonal_loss_learner.py,data/train_1000_0.pkl,data/test_1000_0.pkl,1,0.6283,11.0131,0.69,1000,0
log_loss_learner.py,data/train_1000_0.pkl,data/test_1000_0.pkl,1,0.6487,10.9139,0.6085,1000,0
stupid_loss_learner.py,data/train_1000_0.pkl,data/test_1000_0.pkl,1,0.6003,11.7594,0.8292,1000,0
log_loss_learner.py,data/train_1000_0.pkl,data/test_1000_0.pkl,2,0.655,10.8795,0.5907,1000,0
nonorthogonal_loss_learner.py,data/train_1000_0.pkl,data/test_1000_0.pkl,2,0.6323,10.8563,0.6734,1000,0
orthogonal_loss_learner.py,data/train_1000_0.pkl,data/test_1000_0.pkl,0,0.658,9.2123,0.5854,1000,0
orthogonal_loss_learner_ybyt.py,data/train_1000_0.pkl,data/test_1000_0.pkl,2,0.6483,9.3602,0.6058,1000,0
orthogonal_loss_learner_ybyt.py,data/train_1000_0.pkl,data/test_1000_0.pkl,0,0.66,9.2468,0.5923,1000,0
orthogonal_loss_learner.py,data/train_1000_0.pkl,data/test_1000_0.pkl,1,0.6613,9.1535,0.5616,1000,0
orthogonal_loss_learner_ybyt.py,data/train_1000_0.pkl,data/test_1000_0.pkl,1,0.6587,9.3973,0.6085,1000,0
orthogonal_loss_learner_splitting.py,data/train_2000_2.pkl,data/test_2000_2.pkl,2,0.7473,14.0841,0.5307,2000,2
stupid_loss_learner.py,data/train_2000_2.pkl,data/test_2000_2.pkl,1,0.7423,20.1943,0.5721,2000,2
nonorthogonal_loss_learner.py,data/train_2000_2.pkl,data/test_2000_2.pkl,2,0.7503,14.7437,0.527,2000,2
log_loss_learner.py,data/train_2000_2.pkl,data/test_2000_2.pkl,0,0.7547,20.5474,0.4969,2000,2
stupid_loss_learner.py,data/train_2000_2.pkl,data/test_2000_2.pkl,0,0.7383,20.8009,0.6011,2000,2
log_loss_learner.py,data/train_2000_2.pkl,data/test_2000_2.pkl,2,0.755,20.3173,0.494,2000,2
orthogonal_loss_learner_splitting.py,data/train_2000_2.pkl,data/test_2000_2.pkl,1,0.7543,13.2499,0.4974,2000,2
log_loss_learner.py,data/train_2000_2.pkl,data/test_2000_2.pkl,1,0.757,20.5383,0.4956,2000,2
nonorthogonal_loss_learner.py,data/train_2000_2.pkl,data/test_2000_2.pkl,1,0.753,15.0145,0.514,2000,2
nonorthogonal_loss_learner.py,data/train_2000_2.pkl,data/test_2000_2.pkl,0,0.748,14.4971,0.5179,2000,2
orthogonal_loss_learner_splitting.py,data/train_2000_2.pkl,data/test_2000_2.pkl,0,0.742,13.9326,0.5619,2000,2
stupid_loss_learner.py,data/train_2000_2.pkl,data/test_2000_2.pkl,2,0.7387,20.5853,0.5666,2000,2
orthogonal_loss_learner_ybyt.py,data/train_2000_2.pkl,data/test_2000_2.pkl,1,0.7607,12.6233,0.4748,2000,2
orthogonal_loss_learner.py,data/train_2000_2.pkl,data/test_2000_2.pkl,1,0.7557,12.9741,0.4792,2000,2
orthogonal_loss_learner_ybyt.py,data/train_2000_2.pkl,data/test_2000_2.pkl,2,0.7517,12.9145,0.4951,2000,2
orthogonal_loss_learner.py,data/train_2000_2.pkl,data/test_2000_2.pkl,2,0.765,12.9786,0.4519,2000,2
orthogonal_loss_learner_ybyt.py,data/train_2000_2.pkl,data/test_2000_2.pkl,0,0.7553,12.5686,0.4842,2000,2
orthogonal_loss_learner.py,data/train_2000_2.pkl,data/test_2000_2.pkl,0,0.7647,13.0545,0.4424,2000,2
orthogonal_loss_learner_splitting.py,data/train_2000_3.pkl,data/test_2000_3.pkl,1,0.7387,13.1914,0.5369,2000,3
orthogonal_loss_learner_splitting.py,data/train_2000_3.pkl,data/test_2000_3.pkl,2,0.7463,12.8135,0.4978,2000,3
orthogonal_loss_learner_splitting.py,data/train_2000_3.pkl,data/test_2000_3.pkl,0,0.7413,12.2762,0.5043,2000,3
log_loss_learner.py,data/train_2000_3.pkl,data/test_2000_3.pkl,0,0.7443,19.1814,0.4743,2000,3
stupid_loss_learner.py,data/train_2000_3.pkl,data/test_2000_3.pkl,1,0.7353,18.0105,0.5345,2000,3
nonorthogonal_loss_learner.py,data/train_2000_3.pkl,data/test_2000_3.pkl,0,0.7467,14.1705,0.4976,2000,3
nonorthogonal_loss_learner.py,data/train_2000_3.pkl,data/test_2000_3.pkl,1,0.7473,13.6908,0.4844,2000,3
log_loss_learner.py,data/train_2000_3.pkl,data/test_2000_3.pkl,1,0.751,19.1387,0.4592,2000,3
log_loss_learner.py,data/train_2000_3.pkl,data/test_2000_3.pkl,2,0.7463,19.3208,0.4682,2000,3
stupid_loss_learner.py,data/train_2000_3.pkl,data/test_2000_3.pkl,0,0.7377,18.2171,0.5364,2000,3
stupid_loss_learner.py,data/train_2000_3.pkl,data/test_2000_3.pkl,2,0.7387,18.597,0.551,2000,3
nonorthogonal_loss_learner.py,data/train_2000_3.pkl,data/test_2000_3.pkl,2,0.75,14.0519,0.4892,2000,3
orthogonal_loss_learner.py,data/train_2000_3.pkl,data/test_2000_3.pkl,2,0.7473,11.4179,0.4644,2000,3
orthogonal_loss_learner_ybyt.py,data/train_2000_3.pkl,data/test_2000_3.pkl,2,0.7503,11.6946,0.4578,2000,3
orthogonal_loss_learner_ybyt.py,data/train_2000_3.pkl,data/test_2000_3.pkl,0,0.7593,11.2975,0.4414,2000,3
orthogonal_loss_learner.py,data/train_2000_3.pkl,data/test_2000_3.pkl,1,0.7507,11.568,0.461,2000,3
orthogonal_loss_learner.py,data/train_2000_3.pkl,data/test_2000_3.pkl,0,0.7453,11.8273,0.4834,2000,3
orthogonal_loss_learner_ybyt.py,data/train_2000_3.pkl,data/test_2000_3.pkl,1,0.7487,11.7253,0.4727,2000,3
log_loss_learner.py,data/train_2000_0.pkl,data/test_2000_0.pkl,1,0.667,10.8186,0.5799,2000,0
log_loss_learner.py,data/train_2000_0.pkl,data/test_2000_0.pkl,0,0.6687,10.8936,0.5712,2000,0
stupid_loss_learner.py,data/train_2000_0.pkl,data/test_2000_0.pkl,0,0.6287,11.2678,0.7472,2000,0
log_loss_learner.py,data/train_2000_0.pkl,data/test_2000_0.pkl,2,0.663,10.9427,0.5723,2000,0
nonorthogonal_loss_learner.py,data/train_2000_0.pkl,data/test_2000_0.pkl,1,0.6607,9.5548,0.5959,2000,0
orthogonal_loss_learner_ybyt.py,data/train_2000_0.pkl,data/test_2000_0.pkl,2,0.677,8.8101,0.5282,2000,0
orthogonal_loss_learner_splitting.py,data/train_2000_0.pkl,data/test_2000_0.pkl,1,0.6637,9.1423,0.5726,2000,0
nonorthogonal_loss_learner.py,data/train_2000_0.pkl,data/test_2000_0.pkl,2,0.6663,9.5796,0.5924,2000,0
nonorthogonal_loss_learner.py,data/train_2000_0.pkl,data/test_2000_0.pkl,0,0.6617,9.5314,0.5995,2000,0
stupid_loss_learner.py,data/train_2000_0.pkl,data/test_2000_0.pkl,2,0.6447,10.7968,0.6662,2000,0
orthogonal_loss_learner_splitting.py,data/train_2000_0.pkl,data/test_2000_0.pkl,2,0.665,9.2488,0.5713,2000,0
stupid_loss_learner.py,data/train_2000_0.pkl,data/test_2000_0.pkl,1,0.6553,10.4975,0.6099,2000,0
